# CPU: 12th Gen Intel(R) Core(TM) i5-12600KF
# CPU Frequency: 3.69 GHz
# Compiler: Clang 19.1.5
# 
kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,bandwidth_gbs,speedup,run_id,compiler_flags
axpy,scalar,f32,1024,0,1,0.000000082,25575.011,0.295,149.854,0.000,0,avx2
dot_product,scalar,f32,1024,0,1,0.000000059,35544.854,0.212,138.847,0.000,1,avx2
elementwise_multiply,scalar,f32,1024,0,1,0.000000064,16384.024,0.230,192.000,0.000,2,avx2
stencil_3point,scalar,f32,1024,0,1,0.000000088,59578.122,0.317,139.636,0.000,3,avx2
memory_bandwidth,scalar,f32,1024,0,1,0.000000070,14979.668,0.252,117.029,0.000,4,avx2
axpy,vectorized,f32,1024,0,1,0.000000071,29537.369,0.256,173.071,1.155,5,avx2
dot_product,vectorized,f32,1024,0,1,0.000000059,35544.854,0.212,138.847,1.000,6,avx2
elementwise_multiply,vectorized,f32,1024,0,1,0.000000055,19064.974,0.198,223.418,1.164,7,avx2
stencil_3point,vectorized,f32,1024,0,1,0.000000087,60262.933,0.313,141.241,1.011,8,avx2
memory_bandwidth,vectorized,f32,1024,0,1,0.000000070,14979.668,0.252,117.029,1.000,9,avx2
axpy,scalar,f32,1024,1,1,0.000000039,53773.120,0.140,315.077,0.000,10,avx2
dot_product,scalar,f32,1024,1,1,0.000000053,39569.039,0.191,154.567,0.000,11,avx2
elementwise_multiply,scalar,f32,1024,1,1,0.000000041,25575.011,0.148,299.707,0.000,12,avx2
stencil_3point,scalar,f32,1024,1,1,0.000000083,63167.191,0.299,148.048,0.000,13,avx2
memory_bandwidth,scalar,f32,1024,1,1,0.000000023,45590.491,0.083,356.176,0.000,14,avx2
axpy,vectorized,f32,1024,1,1,0.000000038,55188.213,0.137,323.368,1.026,15,avx2
dot_product,vectorized,f32,1024,1,1,0.000000053,39568.822,0.191,154.566,1.000,16,avx2
elementwise_multiply,vectorized,f32,1024,1,1,0.000000041,25575.011,0.148,299.707,1.000,17,avx2
stencil_3point,vectorized,f32,1024,1,1,0.000000082,63937.528,0.295,149.854,1.012,18,avx2
memory_bandwidth,vectorized,f32,1024,1,1,0.000000025,41943.209,0.090,327.681,0.920,19,avx2
axpy,scalar,f64,1024,0,1,0.000000141,14873.428,0.508,174.298,0.000,20,avx2
dot_product,scalar,f64,1024,0,1,0.000000108,19418.083,0.389,151.704,0.000,21,avx2
elementwise_multiply,scalar,f64,1024,0,1,0.000000077,13617.869,0.277,319.169,0.000,22,avx2
stencil_3point,scalar,f64,1024,0,1,0.000000093,56375.154,0.335,264.259,0.000,23,avx2
memory_bandwidth,scalar,f64,1024,0,1,0.000000100,10485.772,0.360,163.840,0.000,24,avx2
axpy,vectorized,f64,1024,0,1,0.000000101,20763.903,0.364,243.327,1.396,25,avx2
dot_product,vectorized,f64,1024,0,1,0.000000088,23831.249,0.317,186.182,1.227,26,avx2
elementwise_multiply,vectorized,f64,1024,0,1,0.000000077,13617.869,0.277,319.169,1.000,27,avx2
stencil_3point,vectorized,f64,1024,0,1,0.000000089,58908.701,0.320,276.135,1.045,28,avx2
memory_bandwidth,vectorized,f64,1024,0,1,0.000000101,10381.951,0.364,162.218,0.990,29,avx2
axpy,scalar,f64,1024,1,1,0.000000053,39568.822,0.191,463.697,0.000,30,avx2
dot_product,scalar,f64,1024,1,1,0.000000087,24105.173,0.313,188.322,0.000,31,avx2
elementwise_multiply,scalar,f64,1024,1,1,0.000000064,16384.024,0.230,384.001,0.000,32,avx2
stencil_3point,scalar,f64,1024,1,1,0.000000113,46397.173,0.407,217.487,0.000,33,avx2
memory_bandwidth,scalar,f64,1024,1,1,0.000000035,29959.335,0.126,468.115,0.000,34,avx2
