# CPU: 12th Gen Intel(R) Core(TM) i5-12600KF
# CPU Frequency: 3.69 GHz
# Compiler: Clang 19.1.5
# 
kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,bandwidth_gbs,speedup,run_id,compiler_flags
axpy,scalar,f32,1024,0,1,0.000000115,18236.104,0.414,106.852,0.000,0,vectorized
dot_product,scalar,f32,1024,0,1,0.000000061,34379.607,0.220,134.295,0.000,1,vectorized
elementwise_multiply,scalar,f32,1024,0,1,0.000000076,13797.053,0.274,161.684,0.000,2,vectorized
stencil_3point,scalar,f32,1024,0,1,0.000000090,58254.344,0.324,136.534,0.000,3,vectorized
memory_bandwidth,scalar,f32,1024,0,1,0.000000064,16383.950,0.230,128.000,0.000,4,vectorized
axpy,vectorized,f32,1024,0,1,0.000000065,32263.920,0.234,189.046,1.769,5,vectorized
dot_product,vectorized,f32,1024,0,1,0.000000055,38130.150,0.198,148.946,1.109,6,vectorized
elementwise_multiply,vectorized,f32,1024,0,1,0.000000072,14563.562,0.259,170.667,1.056,7,vectorized
stencil_3point,vectorized,f32,1024,0,1,0.000000091,57613.996,0.328,135.033,0.989,8,vectorized
memory_bandwidth,vectorized,f32,1024,0,1,0.000000064,16384.024,0.230,128.000,1.000,9,vectorized
axpy,scalar,f32,1024,1,1,0.000000038,55188.213,0.137,323.368,0.000,10,vectorized
dot_product,scalar,f32,1024,1,1,0.000000053,39568.822,0.191,154.566,0.000,11,vectorized
elementwise_multiply,scalar,f32,1024,1,1,0.000000049,21399.474,0.176,250.775,0.000,12,vectorized
stencil_3point,scalar,f32,1024,1,1,0.000000089,58908.701,0.320,138.067,0.000,13,vectorized
memory_bandwidth,scalar,f32,1024,1,1,0.000000028,37448.858,0.101,292.569,0.000,14,vectorized
axpy,vectorized,f32,1024,1,1,0.000000038,55188.213,0.137,323.368,1.000,15,vectorized
dot_product,vectorized,f32,1024,1,1,0.000000052,40329.991,0.187,157.539,1.019,16,vectorized
elementwise_multiply,vectorized,f32,1024,1,1,0.000000035,29959.335,0.126,351.086,1.400,17,vectorized
