=== Cache Miss Impact Tests ===
Size: 1024B, Stride: 1, Random: No, Time: 300 ns, Perf: 8.53333e+08 ops/s
Size: 1024B, Stride: 1, Random: Yes, Time: 600 ns, Perf: 4.26667e+08 ops/s
Size: 1024B, Stride: 2, Random: No, Time: 500 ns, Perf: 2.56e+08 ops/s
Size: 1024B, Stride: 2, Random: Yes, Time: 500 ns, Perf: 2.56e+08 ops/s
Size: 1024B, Stride: 4, Random: No, Time: 200 ns, Perf: 3.2e+08 ops/s
Size: 1024B, Stride: 4, Random: Yes, Time: 300 ns, Perf: 2.13333e+08 ops/s
Size: 1024B, Stride: 8, Random: No, Time: 200 ns, Perf: 1.6e+08 ops/s
Size: 1024B, Stride: 8, Random: Yes, Time: 500 ns, Perf: 6.4e+07 ops/s
Size: 1024B, Stride: 16, Random: No, Time: 600 ns, Perf: 2.66667e+07 ops/s
Size: 1024B, Stride: 16, Random: Yes, Time: 300 ns, Perf: 5.33333e+07 ops/s
Size: 1024B, Stride: 32, Random: No, Time: 300 ns, Perf: 2.66667e+07 ops/s
Size: 1024B, Stride: 32, Random: Yes, Time: 400 ns, Perf: 2e+07 ops/s
Size: 1024B, Stride: 64, Random: No, Time: 200 ns, Perf: 2e+07 ops/s
Size: 1024B, Stride: 64, Random: Yes, Time: 400 ns, Perf: 1e+07 ops/s
Size: 4096B, Stride: 1, Random: No, Time: 600 ns, Perf: 1.70667e+09 ops/s
Size: 4096B, Stride: 1, Random: Yes, Time: 5800 ns, Perf: 1.76552e+08 ops/s
Size: 4096B, Stride: 2, Random: No, Time: 400 ns, Perf: 1.28e+09 ops/s
Size: 4096B, Stride: 2, Random: Yes, Time: 900 ns, Perf: 5.68889e+08 ops/s
Size: 4096B, Stride: 4, Random: No, Time: 400 ns, Perf: 6.4e+08 ops/s
Size: 4096B, Stride: 4, Random: Yes, Time: 1100 ns, Perf: 2.32727e+08 ops/s
Size: 4096B, Stride: 8, Random: No, Time: 3400 ns, Perf: 3.76471e+07 ops/s
Size: 4096B, Stride: 8, Random: Yes, Time: 800 ns, Perf: 1.6e+08 ops/s
Size: 4096B, Stride: 16, Random: No, Time: 500 ns, Perf: 1.28e+08 ops/s
Size: 4096B, Stride: 16, Random: Yes, Time: 600 ns, Perf: 1.06667e+08 ops/s
Size: 4096B, Stride: 32, Random: No, Time: 400 ns, Perf: 8e+07 ops/s
Size: 4096B, Stride: 32, Random: Yes, Time: 900 ns, Perf: 3.55556e+07 ops/s
Size: 4096B, Stride: 64, Random: No, Time: 900 ns, Perf: 1.77778e+07 ops/s
Size: 4096B, Stride: 64, Random: Yes, Time: 800 ns, Perf: 2e+07 ops/s
Size: 16384B, Stride: 1, Random: No, Time: 1800 ns, Perf: 2.27556e+09 ops/s
Size: 16384B, Stride: 1, Random: Yes, Time: 3700 ns, Perf: 1.10703e+09 ops/s
