job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
random_4k,0,2025-09-28 16:39:16.184695,4k,32,randread,random,139030.239607,569475842,24171,992044,141457.957025,53551.646991,230400,216064,134144,0.0,0,0,0,0.0,0.0,0,0,0,543.0944843292236,0.0,24.171,992.044,141.457957025,53.551646991,0.0,0.0,0.0,0.0,230.4,216.064,134.144,0.0,0.0,0.0
random_16k,0,2025-09-28 16:39:16.184770,16k,32,randread,random,136561.783705,2237428264,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2133.7778701782227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_32k,0,2025-09-28 16:39:16.184798,32k,32,randread,random,127650.954422,4182866474,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,3989.0923252105713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_64k,0,2025-09-28 16:39:16.184818,64k,32,randread,random,75328.735632,4936744018,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,4708.045976638794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_128k,0,2025-09-28 16:39:16.184833,128k,32,randread,random,41415.571284,5428421759,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,5176.946410179138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_256k,0,2025-09-28 16:39:16.184848,256k,32,randread,random,21233.799896,5566313240,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,5308.449974060059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_512k,0,2025-09-28 16:39:16.184864,512k,32,randread,random,10513.347023,5512021683,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,5256.673510551453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1m,0,2025-09-28 16:39:16.184878,1m,32,randread,random,4853.080569,5088823810,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,4853.080568313599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sequential_4k,0,2025-09-28 16:39:16.184895,4k,32,read,sequential,144281.977405,590982706,23275,1088946,133783.011738,53779.978648,224256,207872,127488,0.0,0,0,0,0.0,0.0,0,0,0,563.6050281524658,0.0,23.275,1088.946,133.783011738,53.779978648,0.0,0.0,0.0,0.0,224.256,207.872,127.488,0.0,0.0,0.0
sequential_16k,0,2025-09-28 16:39:16.184912,16k,32,read,sequential,138466.089161,2268628404,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2163.532642364502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
