job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
4k_random_read_qd1,0,2025-09-28 16:08:08.677838,4k,1,randread,random,12256.124796,50201087,53469,813865,80687.569285,9948.37758,103936,74240,67072,0.0,0,0,0,0.0,0.0,0,0,0,47.875487327575684,0.0,53.469,813.865,80.68756928500001,9.94837758,0.0,0.0,0.0,0.0,103.936,74.24,67.072,0.0,0.0,0.0
4k_random_read_qd2,0,2025-09-28 16:08:08.677909,4k,2,randread,random,26022.265924,106587337,37299,826019,71266.358433,11866.249984,102912,76288,60160,0.0,0,0,0,0.0,0.0,0,0,0,101.6496057510376,0.0,37.299,826.019,71.26635843300001,11.866249984,0.0,0.0,0.0,0.0,102.912,76.288,60.16,0.0,0.0,0.0
4k_random_read_qd4,0,2025-09-28 16:08:08.677929,4k,4,randread,random,51379.220693,210449697,30923,1454638,68851.159557,13113.157341,96768,77312,59136,0.0,0,0,0,0.0,0.0,0,0,0,200.70047092437744,0.0,30.923,1454.638,68.851159557,13.113157341,0.0,0.0,0.0,0.0,96.768,77.312,59.136,0.0,0.0,0.0
4k_random_read_qd8,0,2025-09-28 16:08:08.677950,4k,8,randread,random,100313.956225,410886543,23730,873562,68083.968469,17228.319123,129536,85504,61696,0.0,0,0,0,0.0,0.0,0,0,0,391.85194301605225,0.0,23.73,873.562,68.083968469,17.228319123000002,0.0,0.0,0.0,0.0,129.536,85.504,61.696,0.0,0.0,0.0
4k_random_read_qd16,0,2025-09-28 16:08:08.677965,4k,16,randread,random,138176.790831,565976242,26107,918563,84469.125756,22386.469864,122368,111104,77312,0.0,0,0,0,0.0,0.0,0,0,0,539.7570056915283,0.0,26.107,918.563,84.469125756,22.386469864,0.0,0.0,0.0,0.0,122.368,111.104,77.312,0.0,0.0,0.0
4k_random_read_qd32,0,2025-09-28 16:08:08.677980,4k,32,randread,random,139792.006407,572592829,26249,982490,140802.100532,53086.836408,228352,216064,134144,0.0,0,0,0,0.0,0.0,0,0,0,546.0670747756958,0.0,26.249,982.49,140.802100532,53.086836408,0.0,0.0,0.0,0.0,228.352,216.064,134.144,0.0,0.0,0.0
4k_random_read_qd64,0,2025-09-28 16:08:08.677995,4k,64,randread,random,137323.402753,562492561,26222,4338600,260398.05156,126804.776096,473088,440320,252928,0.0,0,0,0,0.0,0.0,0,0,0,536.4347085952759,0.0,26.222,4338.6,260.39805156,126.804776096,0.0,0.0,0.0,0.0,473.088,440.32,252.928,0.0,0.0,0.0
4k_random_read_qd1,1,2025-09-28 16:08:08.678009,4k,1,randread,random,12386.420453,50734778,48869,3786746,79839.155227,19636.582748,107008,77312,66048,0.0,0,0,0,0.0,0.0,0,0,0,48.38445472717285,0.0,48.869,3786.746,79.83915522699999,19.636582748000002,0.0,0.0,0.0,0.0,107.008,77.312,66.048,0.0,0.0,0.0
4k_random_read_qd2,1,2025-09-28 16:08:08.678024,4k,2,randread,random,26010.066331,106537368,37722,3785300,71499.623169,13712.481046,103936,78336,60160,0.0,0,0,0,0.0,0.0,0,0,0,101.6019515991211,0.0,37.722,3785.3,71.499623169,13.712481046,0.0,0.0,0.0,0.0,103.936,78.336,60.16,0.0,0.0,0.0
4k_random_read_qd4,1,2025-09-28 16:08:08.678038,4k,4,randread,random,51946.668444,212773963,32710,931807,68313.986009,12748.957813,95744,77312,59136,0.0,0,0,0,0.0,0.0,0,0,0,202.91706371307373,0.0,32.71,931.807,68.313986009,12.748957813,0.0,0.0,0.0,0.0,95.744,77.312,59.136,0.0,0.0,0.0
4k_random_read_qd8,1,2025-09-28 16:08:08.678052,4k,8,randread,random,97975.203196,401307748,23870,929528,69296.119093,16465.591546,118272,86528,62720,0.0,0,0,0,0.0,0.0,0,0,0,382.71689224243164,0.0,23.87,929.528,69.296119093,16.465591546,0.0,0.0,0.0,0.0,118.272,86.528,62.72,0.0,0.0,0.0
4k_random_read_qd16,1,2025-09-28 16:08:08.678064,4k,16,randread,random,136804.931468,560356471,24221,893281,85134.030024,22971.699205,123392,112128,77312,0.0,0,0,0,0.0,0.0,0,0,0,534.3975744247437,0.0,24.221,893.281,85.13403002400001,22.971699205,0.0,0.0,0.0,0.0,123.392,112.128,77.312,0.0,0.0,0.0
4k_random_read_qd32,1,2025-09-28 16:08:08.678076,4k,32,randread,random,138156.252237,565891820,24529,993419,142213.932569,54063.361351,232448,218112,134144,0.0,0,0,0,0.0,0.0,0,0,0,539.6764945983887,0.0,24.529,993.419,142.213932569,54.063361351,0.0,0.0,0.0,0.0,232.448,218.112,134.144,0.0,0.0,0.0
4k_random_read_qd64,1,2025-09-28 16:08:08.678088,4k,64,randread,random,137770.861589,564313834,27632,1382957,258703.058851,120892.900278,464896,440320,250880,0.0,0,0,0,0.0,0.0,0,0,0,538.17160987854,0.0,27.632,1382.957,258.70305885100004,120.892900278,0.0,0.0,0.0,0.0,464.896,440.32,250.88,0.0,0.0,0.0
4k_random_read_qd1,2,2025-09-28 16:08:08.678100,4k,1,randread,random,12375.754142,50691088,48911,12569556,79852.314015,51186.460189,105984,77312,66048,0.0,0,0,0,0.0,0.0,0,0,0,48.34278869628906,0.0,48.911,12569.556,79.85231401499999,51.186460188999995,0.0,0.0,0.0,0.0,105.984,77.312,66.048,0.0,0.0,0.0
4k_random_read_qd2,2,2025-09-28 16:08:08.678111,4k,2,randread,random,26226.559115,107424122,36989,859290,71121.22948,12334.074731,100864,75264,60160,0.0,0,0,0,0.0,0.0,0,0,0,102.4476261138916,0.0,36.989,859.29,71.12122948,12.334074731000001,0.0,0.0,0.0,0.0,100.864,75.264,60.16,0.0,0.0,0.0
4k_random_read_qd4,2,2025-09-28 16:08:08.678122,4k,4,randread,random,51883.237225,212514149,31223,893805,68350.790653,13081.339671,96768,77312,59136,0.0,0,0,0,0.0,0.0,0,0,0,202.66928577423096,0.0,31.223,893.805,68.350790653,13.081339671,0.0,0.0,0.0,0.0,96.768,77.312,59.136,0.0,0.0,0.0
