job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
rw_100_0,0,2025-09-28 15:06:52.343098,4k,32,randread,random,132805.186765,543972580,27856,2998325,147315.558486,59847.820222,252928,226304,138240,0.0,0,0,0,0.0,0.0,0,0,0,518.7726783752441,0.0,27.856,2998.325,147.315558486,59.847820222,0.0,0.0,0.0,0.0,252.928,226.304,138.24,0.0,0.0,0.0
rw_0_100,0,2025-09-28 15:06:52.343162,4k,32,randwrite,random,0.0,0,0,0,0.0,0.0,0,0,0,113668.578045,465591464,15718,6577793,154183.308036,82298.949618,292864,261120,146432,0.0,444.02262115478516,0.0,0.0,0.0,0.0,15.718,6577.793,154.183308036,82.298949618,0.0,0.0,0.0,292.864,261.12,146.432
rw_70_30,0,2025-09-28 15:06:52.343182,4k,32,randrw,random,95317.197898,390423546,39919,3812060,150066.592233,72291.311411,257024,228352,142336,40850.507881,167325114,16146,1015949,117685.205523,57383.776122,216064,199680,109056,372.3369083404541,159.57366371154785,39.919,3812.06,150.066592233,72.29131141100001,16.146,1015.949,117.685205523,57.383776122,257.024,228.352,142.336,216.064,199.68,109.056
rw_50_50,0,2025-09-28 15:06:52.343198,4k,32,randrw,random,66247.228981,271354186,34670,3829575,157508.957667,78323.375088,276480,240640,150528,66184.238984,271093411,15985,603093,124271.067271,60590.387273,226304,211968,116224,258.7835178375244,258.5348234176636,34.67,3829.575,157.508957667,78.323375088,15.985,603.093,124.271067271,60.590387273,276.48,240.64,150.528,226.304,211.968,116.224
seq_rw_100_0,0,2025-09-28 15:06:52.343212,128k,32,read,sequential,18168.108228,2381330281,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2271.013527870178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_0_100,0,2025-09-28 15:06:52.343226,128k,32,write,sequential,0.0,0,0,0,0.0,0.0,0,0,0,36834.532374,4827975827,0,0,0.0,0.0,0,0,0,0.0,4604.3165464401245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_70_30,0,2025-09-28 15:06:52.343240,128k,32,rw,sequential,29717.166494,3895088446,0,0,0.0,0.0,0,0,0,12640.641158,1656834117,0,0,0.0,0.0,0,0,0,3714.6458110809326,1580.0801439285278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_50_50,0,2025-09-28 15:06:52.343253,128k,32,rw,sequential,19087.017217,2501773520,0,0,0.0,0.0,0,0,0,19033.038623,2494698438,0,0,0.0,0.0,0,0,0,2385.877151489258,2379.1298274993896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_100_0,1,2025-09-28 15:06:52.343266,4k,32,randread,random,137567.586796,563480915,25022,1019419,142895.713049,54771.087716,234496,220160,136192,0.0,0,0,0,0.0,0.0,0,0,0,537.3772764205933,0.0,25.022,1019.419,142.89571304900002,54.771087716000004,0.0,0.0,0.0,0.0,234.496,220.16,136.192,0.0,0.0,0.0
rw_0_100,1,2025-09-28 15:06:52.343278,4k,32,randwrite,random,0.0,0,0,0,0.0,0.0,0,0,0,116381.052872,476698895,15692,709673,150169.587183,74239.261484,268288,257024,144384,0.0,454.61549282073975,0.0,0.0,0.0,0.0,15.692,709.673,150.169587183,74.239261484,0.0,0.0,0.0,268.288,257.024,144.384
