job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_mix,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
rw_100_0,0,2025-09-30 19:14:15.076328,4k,32,randread,random,100,126055.152852,516328618,26811.0,1577398.0,171056.108301,60945.840933,350208,252928,160768,0.0,0,0.0,0.0,0.0,0.0,0,0,0,492.4093418121338,0.0,26.811,1577.398,171.056108301,60.945840933,0.0,0.0,0.0,0.0,350.208,252.928,160.768,0.0,0.0,0.0
rw_0_100,0,2025-09-30 19:14:15.076530,4k,32,randwrite,random,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,100539.602066,411815107,15865.0,15211110.0,174313.246517,128464.834408,464896,309248,158720,0.0,392.7374906539917,0.0,0.0,0.0,0.0,15.865,15211.11,174.31324651699998,128.464834408,0.0,0.0,0.0,464.896,309.248,158.72
rw_70_30,0,2025-09-30 19:14:15.076550,4k,32,randrw,random,70,82638.626609,338489924,36775.0,11528056.0,205886.82167,202345.141118,1253376,346112,164864,35416.309013,145065670,16136.0,1034054.0,118227.878784,67458.319361,301056,220160,98816,322.8091468811035,138.34540367126465,36.775,11528.056,205.88682167000002,202.345141118,16.136,1034.054,118.227878784,67.45831936100001,1253.376,346.112,164.864,301.056,220.16,98.816
rw_50_50,0,2025-09-30 19:14:15.076563,4k,32,randrw,random,50,58759.872427,240682812,35922.0,14460660.0,255254.383761,295777.952189,1466368,978944,168960,58728.269063,240551702,15694.0,950522.0,113918.105927,66745.477381,280576,220160,93696,229.53301620483398,229.40797996520996,35.922,14460.66,255.254383761,295.77795218899996,15.694,950.522,113.918105927,66.745477381,1466.368,978.944,168.96,280.576,220.16,93.696
seq_rw_100_0,0,2025-09-30 19:14:15.076575,128k,32,read,sequential,100,12000.545256,1575150970,2022524.0,5032364.0,2661927.18226,158133.87689,3096576,2899968,2637824,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1502.1810245513916,0.0,2022.524,5032.364,2661.9271822600003,158.13387689,0.0,0.0,0.0,0.0,3096.576,2899.968,2637.824,0.0,0.0,0.0
seq_rw_0_100,0,2025-09-30 19:14:15.076586,128k,32,write,sequential,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,17242.68575,2260033306,1484687.5000317164,2227031.2500475743,1855859.3750396455,185585.93750396455,0,0,0,0.0,2155.335718154907,0.0,0.0,0.0,0.0,1484.6875000317164,2227.0312500475743,1855.8593750396456,185.58593750396454,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_70_30,0,2025-09-30 19:14:15.076598,128k,32,rw,sequential,70,20778.380333,2723463866,1232049.8320719616,1848074.7481079425,1540062.290089952,154006.2290089952,0,0,0,8838.394794,1158466082,2896453.5525589697,4344680.328838454,3620566.9406987117,362056.6940698712,0,0,0,2597.297540664673,1104.7993488311768,1232.0498320719616,1848.0747481079425,1540.062290089952,154.0062290089952,2896.45355255897,4344.6803288384535,3620.5669406987117,362.05669406987124,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_50_50,0,2025-09-30 19:14:15.076609,128k,32,rw,sequential,50,12850.250627,1684308050,1992179.0432796048,2988268.564919407,2490223.804099506,249022.3804099506,0,0,0,12813.909774,1679544781,1997828.957087208,2996743.435630812,2497286.19635901,249728.619635901,0,0,0,1606.281328201294,1601.7387208938599,1992.1790432796047,2988.268564919407,2490.2238040995057,249.02238040995059,1997.828957087208,2996.7434356308117,2497.28619635901,249.728619635901,0.0,0.0,0.0,0.0,0.0,0.0
rw_100_0,1,2025-09-30 19:14:15.076620,4k,32,randread,random,100,125956.104782,515922532,27135.0,1730899.0,170572.497996,58026.02451,325632,254976,160768,0.0,0,0.0,0.0,0.0,0.0,0,0,0,492.02206802368164,0.0,27.135,1730.899,170.57249799599998,58.026024510000006,0.0,0.0,0.0,0.0,325.632,254.976,160.768,0.0,0.0,0.0
rw_0_100,1,2025-09-30 19:14:15.076630,4k,32,randwrite,random,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,100741.414918,412642737,15848.0,15289567.0,174378.222142,144741.054712,489472,305152,158720,0.0,393.526780128479,0.0,0.0,0.0,0.0,15.848,15289.567,174.37822214200003,144.74105471200002,0.0,0.0,0.0,489.472,305.152,158.72
rw_70_30,1,2025-09-30 19:14:15.076639,4k,32,randrw,random,70,79721.324053,326544379,38099.0,3729714.0,212052.457454,192380.986269,1286144,423936,166912,34165.99989,139945282,15863.0,2651596.0,123215.65714,75161.316287,366592,228352,101888,311.4169874191284,133.46222114562988,38.099,3729.714,212.05245745399998,192.38098626899998,15.863,2651.596,123.21565713999999,75.16131628699999,1286.144,423.936,166.912,366.592,228.352,101.888
rw_50_50,1,2025-09-30 19:14:15.076649,4k,32,randrw,random,50,56037.335365,229531823,42123.0,20118146.0,263758.373831,315074.490031,1499136,995328,175104,55994.285403,229355045,15750.0,18978593.0,120935.882194,108447.855214,325632,232448,97792,218.89860439300537,218.7300157546997,42.123,20118.146,263.75837383100003,315.074490031,15.75,18978.593,120.935882194,108.447855214,1499.136,995.328,175.104,325.632,232.448,97.792
seq_rw_100_0,1,2025-09-30 19:14:15.076658,128k,32,read,sequential,100,12016.075388,1577223379,1987812.0,5043519.0,2658069.651603,179974.52164,3129344,2932736,2637824,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1504.1574277877808,0.0,1987.812,5043.519,2658.069651603,179.97452163999998,0.0,0.0,0.0,0.0,3129.344,2932.736,2637.824,0.0,0.0,0.0
seq_rw_0_100,1,2025-09-30 19:14:15.076666,128k,32,write,sequential,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,17590.723642,2305651329,1455312.4999858947,2182968.7499788417,1819140.6249823682,181914.06249823683,0,0,0,0.0,2198.840455055237,0.0,0.0,0.0,0.0,1455.3124999858946,2182.968749978842,1819.1406249823683,181.91406249823683,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_70_30,1,2025-09-30 19:14:15.076675,128k,32,rw,sequential,70,17543.650794,2299481396,1459217.3716063309,2188826.057409496,1824021.7145079134,182402.17145079136,0,0,0,7462.454212,978118798,3430506.8108604164,5145760.216290624,4288133.51357552,428813.35135755205,0,0,0,2192.9563484191895,932.8067760467529,1459.2173716063307,2188.826057409496,1824.0217145079134,182.40217145079134,3430.5068108604164,5145.760216290624,4288.133513575521,428.81335135755205,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_50_50,1,2025-09-30 19:14:15.076683,128k,32,rw,sequential,50,14242.361111,1866774755,1797454.7759660438,2696182.1639490654,2246818.4699575547,224681.84699575548,0,0,0,14202.083333,1861495466,1802552.4424656609,2703828.663698491,2253190.553082076,225319.0553082076,0,0,0,1780.2951383590698,1775.2604160308838,1797.4547759660438,2696.1821639490654,2246.8184699575545,224.68184699575548,1802.5524424656608,2703.8286636984913,2253.190553082076,225.3190553082076,0.0,0.0,0.0,0.0,0.0,0.0
