job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
tail_latency_qd1,0,2025-09-30 21:31:36.863964,4k,1,randread,random,8841.235979,36213702,37952,11136166,111785.527023,44492.395508,134144,117248,96768,0.0,0,0,0,0.0,0.0,0,0,0,34.53607749938965,0.0,37.952,11136.166,111.785527023,44.492395508,0.0,0.0,0.0,0.0,134.144,117.248,96.768,0.0,0.0,0.0
tail_latency_qd8,0,2025-09-30 21:31:36.864063,4k,8,randread,random,70203.19777,287553199,24085,9987365,103710.632527,29992.272715,164864,132096,93696,0.0,0,0,0,0.0,0.0,0,0,0,274.23210048675537,0.0,24.085,9987.365,103.710632527,29.992272715,0.0,0.0,0.0,0.0,164.864,132.096,93.696,0.0,0.0,0.0
tail_latency_qd32,0,2025-09-30 21:31:36.864081,4k,32,randread,random,117385.398843,480817602,27711,6924717,181306.67714,70680.550083,350208,268288,168960,0.0,0,0,0,0.0,0.0,0,0,0,458.5433979034424,0.0,27.711,6924.717,181.30667714,70.680550083,0.0,0.0,0.0,0.0,350.208,268.288,168.96,0.0,0.0,0.0
tail_latency_qd64,0,2025-09-30 21:31:36.864096,4k,64,randread,random,111769.40358,457817569,28043,11378447,331238.02845,179861.960836,700416,552960,313344,0.0,0,0,0,0.0,0.0,0,0,0,436.6088571548462,0.0,28.043,11378.447,331.23802845,179.861960836,0.0,0.0,0.0,0.0,700.416,552.96,313.344,0.0,0.0,0.0
tail_latency_qd8_jobs4,0,2025-09-30 21:31:36.864108,4k,8,randread,random,239211.339897,979812967,27542,9584675,121265.168586,42973.387522,216064,166912,102912,0.0,0,0,0,0.0,0.0,0,0,0,934.4224615097046,0.0,27.542,9584.675,121.265168586,42.973387521999996,0.0,0.0,0.0,0.0,216.064,166.912,102.912,0.0,0.0,0.0
tail_latency_write_qd32,0,2025-09-30 21:31:36.864119,4k,32,write,sequential,0.0,0,0,0,0.0,0.0,0,0,0,106417.895237,435892429,15845,14756244,164376.39588,124508.546659,329728,280576,154624,0.0,415.69941425323486,0.0,0.0,0.0,0.0,15.845,14756.244,164.37639588,124.508546659,0.0,0.0,0.0,329.728,280.576,154.624
tail_latency_mixed_qd32,0,2025-09-30 21:31:36.864134,4k,32,randrw,random,79329.342723,324937474,38859,11647829,225789.478859,250988.965709,1417216,610304,162816,33926.682316,138965613,16062,672303,115449.111442,68934.706805,317440,220160,92672,309.88452339172363,132.5279359817505,38.859,11647.829,225.78947885899998,250.988965709,16.062,672.303,115.44911144199999,68.93470680499999,1417.216,610.304,162.816,317.44,220.16,92.672
tail_latency_qd1,1,2025-09-30 21:31:36.864149,4k,1,randread,random,9144.080932,37454155,48496,2811878,108125.431429,23796.650219,132096,115200,94720,0.0,0,0,0,0.0,0.0,0,0,0,35.71906566619873,0.0,48.496,2811.878,108.125431429,23.796650219,0.0,0.0,0.0,0.0,132.096,115.2,94.72,0.0,0.0,0.0
tail_latency_qd8,1,2025-09-30 21:31:36.864164,4k,8,randread,random,74074.046664,303408411,28373,2513235,99345.687953,27388.155535,164864,127488,90624,0.0,0,0,0,0.0,0.0,0,0,0,289.35280895233154,0.0,28.373,2513.235,99.345687953,27.388155535000003,0.0,0.0,0.0,0.0,164.864,127.488,90.624,0.0,0.0,0.0
tail_latency_qd32,1,2025-09-30 21:31:36.864176,4k,32,randread,random,118247.266684,484346178,35122,4204483,179531.983042,73464.435574,362496,268288,166912,0.0,0,0,0,0.0,0.0,0,0,0,461.9085102081299,0.0,35.122,4204.483,179.531983042,73.464435574,0.0,0.0,0.0,0.0,362.496,268.288,166.912,0.0,0.0,0.0
tail_latency_qd64,1,2025-09-30 21:31:36.864188,4k,64,randread,random,123770.650502,506967919,45017,5570107,300797.097775,135001.989427,585728,493568,292864,0.0,0,0,0,0.0,0.0,0,0,0,483.4822835922241,0.0,45.017,5570.107,300.797097775,135.00198942699998,0.0,0.0,0.0,0.0,585.728,493.568,292.864,0.0,0.0,0.0
tail_latency_qd8_jobs4,1,2025-09-30 21:31:36.864199,4k,8,randread,random,251153.252058,1028727642,33446,4880067,115882.490174,34948.186558,209920,160768,99840,0.0,0,0,0,0.0,0.0,0,0,0,981.0711307525635,0.0,33.446,4880.067,115.88249017400001,34.948186558,0.0,0.0,0.0,0.0,209.92,160.768,99.84,0.0,0.0,0.0
tail_latency_write_qd32,1,2025-09-30 21:31:36.864210,4k,32,write,sequential,0.0,0,0,0,0.0,0.0,0,0,0,105875.520371,433672560,15772,14928775,165208.224283,125600.540855,337920,284672,154624,0.0,413.58238220214844,0.0,0.0,0.0,0.0,15.772,14928.775,165.208224283,125.600540855,0.0,0.0,0.0,337.92,284.672,154.624
tail_latency_mixed_qd32,1,2025-09-30 21:31:36.864221,4k,32,randrw,random,82325.448207,337208435,31200,3649336,187627.635141,73468.086378,354304,284672,179200,35216.467463,144247670,16349,860114,127236.674638,65407.186904,280576,220160,114176,321.5870237350464,137.56529808044434,31.2,3649.336,187.627635141,73.46808637800001,16.349,860.114,127.236674638,65.407186904,354.304,284.672,179.2,280.576,220.16,114.176
tail_latency_qd1,2,2025-09-30 21:31:36.864231,4k,1,randread,random,9420.676322,38587158,44974,945215,104924.145881,21630.591471,132096,115200,93696,0.0,0,0,0,0.0,0.0,0,0,0,36.79958152770996,0.0,44.974,945.215,104.924145881,21.630591471,0.0,0.0,0.0,0.0,132.096,115.2,93.696,0.0,0.0,0.0
tail_latency_qd8,2,2025-09-30 21:31:36.864241,4k,8,randread,random,78055.216544,319715208,27410,938330,94574.153693,22865.697252,156672,122368,88576,0.0,0,0,0,0.0,0.0,0,0,0,304.90418243408203,0.0,27.41,938.33,94.574153693,22.865697252,0.0,0.0,0.0,0.0,156.672,122.368,88.576,0.0,0.0,0.0
tail_latency_qd32,2,2025-09-30 21:31:36.864250,4k,32,randread,random,122994.078062,503790359,29608,1148091,171667.720822,59391.83465,313344,254976,162816,0.0,0,0,0,0.0,0.0,0,0,0,480.4519262313843,0.0,29.608,1148.091,171.667720822,59.39183465,0.0,0.0,0.0,0.0,313.344,254.976,162.816,0.0,0.0,0.0
