job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
4k_random_read_qd1,0,2025-09-30 20:56:27.586869,4k,1,randread,random,9223.659211,37780108,40454,1765944,107398.416892,22547.467497,132096,115200,94720,0.0,0,0,0,0.0,0.0,0,0,0,36.0299186706543,0.0,40.454,1765.944,107.398416892,22.547467497000003,0.0,0.0,0.0,0.0,132.096,115.2,94.72,0.0,0.0,0.0
4k_random_write_qd1,0,2025-09-30 20:56:27.587147,4k,1,randwrite,random,0.0,0,0,0,0.0,0.0,0,0,0,25180.127329,103137801,23382,526090,38970.675604,11686.772714,52480,38656,26496,0.0,98.35987186431885,0.0,0.0,0.0,0.0,23.382,526.09,38.97067560399999,11.686772714,0.0,0.0,0.0,52.48,38.656,26.496
128k_sequential_read_qd1,0,2025-09-30 20:56:27.587173,128k,1,read,sequential,4966.94361,651027232,123522,2027858,200358.394138,43423.664853,292864,244736,181248,0.0,0,0,0,0.0,0.0,0,0,0,620.8679504394531,0.0,123.522,2027.858,200.358394138,43.423664853000005,0.0,0.0,0.0,0.0,292.864,244.736,181.248,0.0,0.0,0.0
128k_sequential_write_qd1,0,2025-09-30 20:56:27.587187,128k,1,write,sequential,0.0,0,0,0,0.0,0.0,0,0,0,13139.61039,1722235012,55767,20307206,75428.910983,159685.551111,87552,71168,54016,0.0,1642.4512977600098,0.0,0.0,0.0,0.0,55.767,20307.206,75.428910983,159.685551111,0.0,0.0,0.0,87.552,71.168,54.016
4k_random_read_qd1,1,2025-09-30 20:56:27.587202,4k,1,randread,random,8907.336422,36484586,48237,1714494,111188.717213,19701.772687,134144,116224,97792,0.0,0,0,0,0.0,0.0,0,0,0,34.79441261291504,0.0,48.237,1714.494,111.18871721299999,19.701772687000002,0.0,0.0,0.0,0.0,134.144,116.224,97.792,0.0,0.0,0.0
4k_random_write_qd1,1,2025-09-30 20:56:27.587213,4k,1,randwrite,random,0.0,0,0,0,0.0,0.0,0,0,0,25153.29489,103027895,23108,4863588,39021.230695,14287.056181,54528,39168,26240,0.0,98.2550573348999,0.0,0.0,0.0,0.0,23.108,4863.588,39.021230695,14.287056181,0.0,0.0,0.0,54.528,39.168,26.24
128k_sequential_read_qd1,1,2025-09-30 20:56:27.587222,128k,1,read,sequential,4433.185274,581066460,122628,5402406,224309.709371,83083.481111,358400,276480,195584,0.0,0,0,0,0.0,0.0,0,0,0,554.1481590270996,0.0,122.628,5402.406,224.309709371,83.083481111,0.0,0.0,0.0,0.0,358.4,276.48,195.584,0.0,0.0,0.0
128k_sequential_write_qd1,1,2025-09-30 20:56:27.587230,128k,1,write,sequential,0.0,0,0,0,0.0,0.0,0,0,0,11673.350582,1530049407,57258,20339497,84602.592841,154570.480752,97792,76288,56064,0.0,1459.1688222885132,0.0,0.0,0.0,0.0,57.258,20339.497,84.602592841,154.570480752,0.0,0.0,0.0,97.792,76.288,56.064
4k_random_read_qd1,2,2025-09-30 20:56:27.587239,4k,1,randread,random,9182.427252,37611222,48222,1435288,107826.613075,21458.66082,134144,116224,95744,0.0,0,0,0,0.0,0.0,0,0,0,35.86885643005371,0.0,48.222,1435.288,107.826613075,21.458660820000002,0.0,0.0,0.0,0.0,134.144,116.224,95.744,0.0,0.0,0.0
4k_random_write_qd1,2,2025-09-30 20:56:27.587247,4k,1,randwrite,random,0.0,0,0,0,0.0,0.0,0,0,0,25055.898137,102629095,23573,2412213,39153.282037,13173.86815,55040,39168,26240,0.0,97.87473201751709,0.0,0.0,0.0,0.0,23.573,2412.213,39.153282037,13.17386815,0.0,0.0,0.0,55.04,39.168,26.24
128k_sequential_read_qd1,2,2025-09-30 20:56:27.587254,128k,1,read,sequential,4851.657645,635916470,123925,1459186,205167.070913,46120.811073,317440,259072,183296,0.0,0,0,0,0.0,0.0,0,0,0,606.4572048187256,0.0,123.925,1459.186,205.167070913,46.120811073,0.0,0.0,0.0,0.0,317.44,259.072,183.296,0.0,0.0,0.0
128k_sequential_write_qd1,2,2025-09-30 20:56:27.587261,128k,1,write,sequential,0.0,0,0,0,0.0,0.0,0,0,0,12626.596544,1655091738,56978,19667836,78378.390456,152013.318949,86528,72192,55040,0.0,1578.4184818267822,0.0,0.0,0.0,0.0,56.978,19667.836,78.37839045599999,152.013318949,0.0,0.0,0.0,86.528,72.192,55.04
